id,rua,terreno,casa_new,vertex_pos,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,ponto,x_dms,y_dms,x,y
"1",rua Tukano,"1",,"1","1","0","0","1",0.000067089524496,209.396756876954186,"2","59°54′52,1″W","3°4′2,6″S",-59.9144621015576,-3.06738167148717
"1",rua Tukano,"1",,"2","2","0","0","2",0.000266530672311,300.816841532518822,"3","59°54′52,8″W","3°4′2,7″S",-59.91465658299,-3.06742587266254
"1",rua Tukano,"1",,"3","3","0","0","3",0.000342091724589,32.084760947214001,"4","59°54′52,8″W","3°4′2,5″S",-59.9146768543444,-3.0673530815586
"1",rua Tukano,"1",,"4","4","0","0","4",0.000538816570816,120.664676291649343,"1","59°54′52,1″W","3°4′2,3″S",-59.9144832805037,-3.06731801257938
"2",rua Tukano,"2",2,"1","1","0","0","1",0.000067287886135,208.155265056691263,"2","59°54′52,0″W","3°4′2,8″S",-59.9144402381824,-3.06744530836678
"2",rua Tukano,"2",2,"2","2","0","0","2",0.000266678767273,298.370695935846811,"3","59°54′52,7″W","3°4′3,0″S",-59.9146330773019,-3.06749600153668
"2",rua Tukano,"2",2,"3","3","0","0","3",0.000340642111974,29.332726793065962,"4","59°54′52,8″W","3°4′2,7″S",-59.91465658299,-3.06742587266254
"2",rua Tukano,"2",2,"4","4","0","0","4",0.000540083259789,119.117295913910425,"1","59°54′52,1″W","3°4′2,6″S",-59.9144621015576,-3.06738167148717
"3",rua Tukano,"3",3,"1","1","0","0","1",0.000061716453014,208.127413199090995,"2","59°54′51,9″W","3°4′3,0″S",-59.9144211966687,-3.06750401391446
"3",rua Tukano,"3",3,"2","2","0","0","2",0.000261952602853,298.573552250341095,"3","59°54′52,6″W","3°4′3,2″S",-59.9146138918579,-3.06755844809267
"3",rua Tukano,"3",3,"3","3","0","0","3",0.000327279883642,29.096457647967771,"4","59°54′52,7″W","3°4′3,0″S",-59.9146330773019,-3.06749600153668
"3",rua Tukano,"3",3,"4","4","0","0","4",0.000526670764780,118.650318596717682,"1","59°54′52,0″W","3°4′2,8″S",-59.9144402381824,-3.06744530836678
"4",rua Tukano,"4",4,"1","1","0","0","1",0.000072164017160,208.263551584288990,"2","59°54′51,8″W","3°4′3,3″S",-59.9143985123899,-3.06757251989132
"4",rua Tukano,"4",4,"2","2","0","0","2",0.000274027436542,298.884880147451213,"3","59°54′52,5″W","3°4′3,5″S",-59.9145933584483,-3.06762528212777
"4",rua Tukano,"4",4,"3","3","0","0","3",0.000343944595797,28.573551768776479,"4","59°54′52,6″W","3°4′3,2″S",-59.9146138918579,-3.06755844809267
"4",rua Tukano,"4",4,"4","4","0","0","4",0.000544180745637,117.952223205614217,"1","59°54′51,9″W","3°4′3,0″S",-59.9144211966687,-3.06750401391446
"5",rua Tukano,"5",5,"1","1","0","0","1",0.000070855938769,208.588927603708498,"2","59°54′51,8″W","3°4′3,5″S",-59.9143753802349,-3.06763949352392
"5",rua Tukano,"5",5,"2","2","0","0","2",0.000275508861249,299.628696396659620,"3","59°54′52,5″W","3°4′3,7″S",-59.9145741532399,-3.06768819784771
"5",rua Tukano,"5",5,"3","3","0","0","3",0.000341290529267,28.936658115104731,"4","59°54′52,5″W","3°4′3,5″S",-59.9145933584483,-3.06762528212777
"5",rua Tukano,"5",5,"4","4","0","0","4",0.000543153948649,117.896889322153612,"1","59°54′51,8″W","3°4′3,3″S",-59.9143985123899,-3.06757251989132
"6",rua Tukano,"6",6,"1","1","0","0","1",0.000072992027716,209.236062559544365,"2","59°54′51,7″W","3°4′3,8″S",-59.9143524733546,-3.06770879800391
"6",rua Tukano,"6",6,"2","2","0","0","2",0.000277578751912,299.145875796230484,"3","59°54′52,4″W","3°4′3,9″S",-59.9145516237675,-3.06775564713164
"6",rua Tukano,"6",6,"3","3","0","0","3",0.000348691219381,28.880979256739526,"4","59°54′52,5″W","3°4′3,7″S",-59.9145741532399,-3.06768819784771
"6",rua Tukano,"6",6,"4","4","0","0","4",0.000553344141860,118.971166020053388,"1","59°54′51,8″W","3°4′3,5″S",-59.9143753802349,-3.06763949352392
"7",rua Tukano,"7",7,"1","1","0","0","1",0.000066657305892,208.000043901468246,"2","59°54′51,6″W","3°4′4,0″S",-59.9143309149554,-3.06777187281545
"7",rua Tukano,"7",7,"2","2","0","0","2",0.000265596249922,296.043355086750637,"3","59°54′52,3″W","3°4′4,2″S",-59.9145229579459,-3.06782379769618
"7",rua Tukano,"7",7,"3","3","0","0","3",0.000339523789536,26.989404351206598,"4","59°54′52,4″W","3°4′3,9″S",-59.9145515862034,-3.06775563829488
"7",rua Tukano,"7",7,"4","4","0","0","4",0.000544071924248,118.946093165924225,"1","59°54′51,7″W","3°4′3,8″S",-59.9143524733546,-3.06770879800391
"8",rua Tukano,"8",8,"1","1","0","0","1",0.000065029203726,207.392675778322968,"2","59°54′51,5″W","3°4′4,2″S",-59.9143104267186,-3.06783359734066
"8",rua Tukano,"8",8,"2","2","0","0","2",0.000257732298286,294.950575193876659,"3","59°54′52,2″W","3°4′4,4″S",-59.9144947485582,-3.06788981070312
"8",rua Tukano,"8",8,"3","3","0","0","3",0.000329520087233,25.865771405170982,"4","59°54′52,3″W","3°4′4,2″S",-59.9145229579459,-3.06782379769618
"8",rua Tukano,"8",8,"4","4","0","0","4",0.000528582098353,118.307871989617269,"1","59°54′51,6″W","3°4′4,0″S",-59.9143307961542,-3.06777184069382
"9",rua Tukano,"9",9,"1","1","0","0","1",0.000071239676974,204.620174862244852,"2","59°54′51,4″W","3°4′4,4″S",-59.9142824619611,-3.06789911881739
"9",rua Tukano,"9",9,"2","2","0","0","2",0.000263589861156,294.574365547415994,"3","59°54′52,1″W","3°4′4,6″S",-59.9144657608759,-3.06795742920411
"9",rua Tukano,"9",9,"3","3","0","0","3",0.000337159878149,24.917554631548569,"4","59°54′52,2″W","3°4′4,4″S",-59.9144947485582,-3.06788981070312
"9",rua Tukano,"9",9,"4","4","0","0","4",0.000529862972709,114.963363946377413,"1","59°54′51,5″W","3°4′4,2″S",-59.9143104267186,-3.06783359734066
"10",rua Tukano,"10",10,"1","1","0","0","1",0.000076292779593,204.982653384944882,"2","59°54′51,3″W","3°4′4,7″S",-59.9142525721244,-3.06796931273366
"10",rua Tukano,"10",10,"2","2","0","0","2",0.000271077643117,295.833953684589517,"3","59°54′52,0″W","3°4′4,9″S",-59.9144388760924,-3.06802616319167
"10",rua Tukano,"10",10,"3","3","0","0","3",0.000344882471070,25.495350413348117,"4","59°54′52,1″W","3°4′4,6″S",-59.9144657608759,-3.06795742920411
"10",rua Tukano,"10",10,"4","4","0","0","4",0.000537232655252,114.644050113703486,"1","59°54′51,4″W","3°4′4,4″S",-59.9142824619611,-3.06789911881739
"11",rua Tukano,"11",11,"1","1","0","0","1",0.000067339828698,204.310277097794483,"2","59°54′51,2″W","3°4′4,9″S",-59.914226157536,-3.06803125562711
"11",rua Tukano,"11",11,"2","2","0","0","2",0.000263853636492,295.169244740576858,"3","59°54′51,9″W","3°4′5,1″S",-59.9144127495751,-3.06809290858822
"11",rua Tukano,"11",11,"3","3","0","0","3",0.000335530291463,25.826674411446628,"4","59°54′52,0″W","3°4′4,9″S",-59.9144388760924,-3.06802616319167
"11",rua Tukano,"11",11,"4","4","0","0","4",0.000530315154987,114.967706768664314,"1","59°54′51,3″W","3°4′4,7″S",-59.9142525721244,-3.06796931273366
"12",rua Tukano,"12",12,"1","1","0","0","1",0.000070101408214,203.820684778695522,"2","59°54′51,1″W","3°4′5,1″S",-59.9141985618291,-3.06809569695231
"12",rua Tukano,"12",12,"2","2","0","0","2",0.000268447840138,294.630355568190453,"3","59°54′51,8″W","3°4′5,4″S",-59.914385902171,-3.06816084987507
"12",rua Tukano,"12",12,"3","3","0","0","3",0.000341455249661,25.069748371803321,"4","59°54′51,9″W","3°4′5,1″S",-59.9144127338167,-3.06809295182917
