ID_GERAL,ponto,compriment
1,1,21
1,2,9
1,3,21
1,4,12
2,1,21
2,2,8
2,3,20
2,4,9
3,1,20
3,2,8
3,3,20
3,4,8
4,1,20
4,2,8
4,3,20
4,4,8
5,1,20
5,2,8
5,3,20
5,4,9
6,1,20
6,2,8
6,3,20
6,4,9
7,1,20
7,2,8
7,3,20
7,4,8
8,1,20
8,2,8
8,3,20
8,4,8
9,1,20
9,2,8
9,3,20
9,4,9
10,1,19
10,2,8
10,3,19
10,4,8
11,1,19
11,2,8
11,3,20
11,4,8
12,1,20
12,2,9
12,3,20
12,4,8
13,1,20
13,2,8
13,3,19
13,4,8
14,1,19
14,2,8
14,3,19
14,4,9
15,1,19
15,2,9
15,3,19
15,4,8
16,1,19
16,2,8
16,3,19
16,4,8
17,1,19
17,2,7
17,3,19
17,4,7
18,1,19
18,2,8
18,3,19
18,4,7
19,1,19
19,2,8
19,3,19
19,4,8
20,1,19
20,2,8
20,3,20
20,4,8
21,1,17
21,2,8
21,3,17
21,4,8
22,1,11
22,2,16
22,3,20
22,4,0
23,1,17
23,2,9
23,3,17
23,4,9
24,1,17
24,2,9
24,3,17
24,4,9
25,1,12
25,2,18
25,3,12
25,4,18
26,1,17
26,2,9
26,3,18
26,4,8
27,1,30
27,2,9
27,3,30
27,4,9
28,1,30
28,2,8
28,3,31
28,4,7
29,1,31
29,2,8
29,3,31
29,4,7
30,1,31
30,2,9
30,3,31
30,4,9
31,1,23
31,2,31
31,3,24
31,4,31
32,1,10
32,2,15
32,3,10
32,4,15
33,1,10
33,2,16
33,3,9
33,4,16
34,1,11
34,2,15
34,3,11
34,4,15
35,1,11
35,2,16
35,3,11
35,4,16
36,1,10
36,2,15
36,3,9
36,4,15
37,1,9
37,2,16
37,3,9
37,4,16
38,1,10
38,2,15
38,3,10
38,4,15
39,1,10
39,2,15
39,3,10
39,4,15
40,1,10
40,2,15
40,3,10
40,4,15
41,1,10
41,2,16
41,3,10
41,4,15
42,1,9
42,2,15
42,3,9
42,4,15
43,1,9
43,2,16
43,3,9
43,4,16
44,1,9
44,2,15
44,3,9
44,4,15
45,1,9
45,2,16
45,3,9
45,4,16
46,1,9
46,2,15
46,3,9
46,4,15
47,1,9
47,2,16
47,3,9
47,4,16
48,1,9
48,2,15
48,3,9
48,4,15
49,1,9
49,2,15
49,3,9
49,4,16
50,1,10
50,2,15
50,3,10
50,4,15
51,1,10
51,2,15
51,3,10
51,4,15
52,1,10
52,2,16
52,3,10
52,4,16
53,1,10
53,2,15
53,3,10
53,4,15
54,1,11
54,2,16
54,3,10
54,4,16
55,1,10
55,2,15
55,3,9
55,4,15
56,1,12
56,2,16
56,3,11
56,4,16
57,1,11
57,2,15
57,3,11
57,4,15
58,1,13
58,2,16
58,3,12
58,4,16
59,1,12
59,2,15
59,3,11
59,4,15
60,1,25
60,2,9
60,3,24
60,4,10
61,1,20
61,2,8
61,3,19
61,4,8
62,1,10
62,2,8
